month,item,quantity,revenue
2026-06,item-0,955,2.59
2026-06,item-1,45,22.75
2026-06,item-2,28,53.23
2026-06,item-3,90,41.54
2026-06,item-4,78,44.41
2026-06,item-5,917,86.50
2026-06,item-6,566,98.62
2026-06,item-7,906,14.73
2026-06,item-8,684,62.33
2026-06,item-9,583,11.39
2026-06,item-10,991,87.60
2026-06,item-11,728,63.39
2026-06,item-12,326,65.99
2026-06,item-13,551,20.51
2026-06,item-14,806,23.25
2026-06,item-15,242,84.05
2026-06,item-16,711,15.12
2026-06,item-17,240,86.63
2026-06,item-18,244,66.91
2026-06,item-19,659,76.56
